CD_Cliente,cluster,UF,regiao,DS_SEGMENTO,DS_SUBSEGMENTO,categoria_faturamento,MARCA_TOTVS,MODAL_COMERC,PERIODICIDADE,SITUACAO_CONTRATO,Tempo_relacionamento,nps_aquisicao,nps_implantacao,nps_produto,nps_relacional,nps_suporte
T00546,2,SP,Sudeste,MANUFATURA,BENS DE CAPITAL,Média,MODALIDADE TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,CANCELADO,0,sem_nps,sem_nps,detrator,sem_nps,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,RH - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,7044,sem_nps,sem_nps,promotor,promotor,promotor
T00673,2,SP,Sudeste,MANUFATURA,QUIMICA & RECICLAGEM,Média,SERVICOS DE IMPLANTACAO,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,ATIVO,849,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,PROGRESS,MODALIDADE TRADICIONAL,00 - Mensal,TROCADO,4069,sem_nps,sem_nps,promotor,promotor,passivo
T00546,2,SP,Sudeste,MANUFATURA,BENS DE CAPITAL,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,6943,sem_nps,sem_nps,detrator,sem_nps,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3212,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,GOODDATA,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,4957,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,CLOUD,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,CANCELADO,3612,sem_nps,sem_nps,promotor,promotor,passivo
T00631,2,SP,Sudeste,MANUFATURA,METAL-MECANICO & PLASTICO,Média,SERVICOS DE IMPLANTACAO,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,ATIVO,546,sem_nps,sem_nps,passivo,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,CANCELADO,0,sem_nps,sem_nps,promotor,promotor,passivo
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,SOFTWARE COMPLEMENTAR,null,00 - Mensal,ATIVO,1128,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,GOODDATA,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,4957,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,GOODDATA,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,4957,sem_nps,sem_nps,promotor,promotor,passivo
T00546,2,SP,Sudeste,MANUFATURA,BENS DE CAPITAL,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,CANCELADO,1966,sem_nps,sem_nps,detrator,sem_nps,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,MANUFATURA - CORPORATIVO,MODALIDADE CORPORATIVO,00 - Mensal,ATIVO,3867,sem_nps,promotor,promotor,promotor,promotor
T00390,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,SERVICOS DE IMPLANTACAO,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,ATIVO,0,sem_nps,sem_nps,passivo,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,BACKOFFICE - PARCEIRO,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,5831,sem_nps,sem_nps,promotor,promotor,promotor
T00673,2,SP,Sudeste,MANUFATURA,QUIMICA & RECICLAGEM,Média,CLOUD INTERA,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,ATIVO,3732,sem_nps,sem_nps,promotor,promotor,passivo
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,BACKOFFICE - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,6744,sem_nps,sem_nps,promotor,promotor,promotor
T00631,2,SP,Sudeste,MANUFATURA,METAL-MECANICO & PLASTICO,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,5016,sem_nps,sem_nps,passivo,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,MANUFATURA - CORPORATIVO,MODALIDADE CORPORATIVO,00 - Mensal,CANCELADO,5634,sem_nps,promotor,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,BSO,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,CANCELADO,3507,sem_nps,promotor,promotor,promotor,promotor
T00255,2,SP,Sudeste,MANUFATURA,BENS DE CONSUMO,Alta,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,GRATUITO,0,sem_nps,sem_nps,passivo,passivo,detrator
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,FLUIG - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,CANCELADO,5540,sem_nps,promotor,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,1210,sem_nps,promotor,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,CANCELADO,2801,sem_nps,sem_nps,promotor,promotor,passivo
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,SERVICOS DE IMPLANTACAO,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,ATIVO,1037,sem_nps,promotor,promotor,promotor,promotor
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,PRIME,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,ATIVO,2372,sem_nps,sem_nps,promotor,promotor,promotor
T01104,2,MG,Sudeste,LOGISTICA,TRANSPORTADOR,Média,BACKOFFICE - CORE,MODALIDADE TRADICIONAL,00 - Mensal,CANCELADO,3061,sem_nps,sem_nps,promotor,promotor,promotor
T00255,2,SP,Sudeste,MANUFATURA,BENS DE CONSUMO,Alta,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,669,sem_nps,sem_nps,passivo,passivo,detrator
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,5831,sem_nps,sem_nps,promotor,promotor,promotor
T00546,2,SP,Sudeste,MANUFATURA,BENS DE CAPITAL,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,6943,sem_nps,sem_nps,detrator,sem_nps,promotor
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,MANUFATURA - PARCEIRO,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,GRATUITO,4656,sem_nps,sem_nps,promotor,promotor,promotor
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,RH - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,3838,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,DISTRIBUICAO & VAREJO - CORE,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,5352,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,SOFTWARE COMPLEMENTAR,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,4600,sem_nps,sem_nps,promotor,promotor,passivo
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,ACT,MODALIDADE SERVICOS RECORRENTES,00 - Mensal,CANCELADO,4755,sem_nps,sem_nps,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,SOFTWARE COMPLEMENTAR,null,00 - Mensal,ATIVO,1799,sem_nps,sem_nps,promotor,promotor,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,SOFTWARE COMPLEMENTAR,MODALIDADE ALUGUEL (LEGADO),00 - Mensal,ATIVO,1210,sem_nps,promotor,promotor,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3699,sem_nps,sem_nps,promotor,promotor,promotor
T00631,2,SP,Sudeste,MANUFATURA,METAL-MECANICO & PLASTICO,Média,MANUFATURA - PARCEIRO,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3989,sem_nps,sem_nps,passivo,promotor,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,3699,sem_nps,sem_nps,promotor,promotor,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,BACKOFFICE - PARCEIRO,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,5100,sem_nps,sem_nps,promotor,promotor,passivo
T00737,2,SP,Sudeste,MANUFATURA,METAL-MECANICO & PLASTICO,Média,SOFTWARE COMPLEMENTAR,null,00 - Mensal,ATIVO,909,sem_nps,sem_nps,promotor,promotor,detrator
T00546,2,SP,Sudeste,MANUFATURA,BENS DE CAPITAL,Média,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,6943,sem_nps,sem_nps,detrator,sem_nps,promotor
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,PROGRESS,MODALIDADE TRADICIONAL,00 - Mensal,GRATUITO,4777,sem_nps,sem_nps,promotor,promotor,passivo
T00082,2,SP,Sudeste,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,Média,PROGRESS,MODALIDADE TRADICIONAL,00 - Mensal,TROCADO,2767,sem_nps,sem_nps,promotor,promotor,passivo
T00788,2,SP,Sudeste,SERVICOS,PROVEDOR SERVICOS,Alta,BACKOFFICE - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,4504,sem_nps,sem_nps,detrator,sem_nps,promotor
T00336,2,SP,Sudeste,MANUFATURA,BENS DURAVEIS,Alta,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,4706,sem_nps,promotor,promotor,promotor,promotor
T00546,2,SP,Sudeste,MANUFATURA,BENS DE CAPITAL,Média,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,8720,sem_nps,sem_nps,detrator,sem_nps,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,17,sem_nps,sem_nps,promotor,promotor,promotor
T00538,2,ES,Sudeste,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,Alta,GOODDATA,MODALIDADE ASSINATURA COMPLEMENTAR,00 - Mensal,ATIVO,1911,sem_nps,sem_nps,promotor,promotor,promotor
T00788,2,SP,Sudeste,SERVICOS,PROVEDOR SERVICOS,Alta,TECNOLOGIA,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,150,sem_nps,sem_nps,detrator,sem_nps,promotor
T00145,2,SP,Sudeste,LOGISTICA,ATACADISTA E DISTRIBUIDOR,Média,SERVICOS DE IMPLANTACAO,MODALIDADE SERVICOS NÃO RECORRENTES,00 - Mensal,ATIVO,0,sem_nps,sem_nps,promotor,promotor,promotor
T00546,2,SP,Sudeste,MANUFATURA,BENS DE CAPITAL,Média,RH - CORE,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,8720,sem_nps,sem_nps,detrator,sem_nps,promotor
T00673,2,SP,Sudeste,MANUFATURA,QUIMICA & RECICLAGEM,Média,CROSS - TRADICIONAL,MODALIDADE TRADICIONAL,00 - Mensal,ATIVO,4710,sem_nps,sem_nps,promotor,promotor,passivo
